"","studyID","blockID","blockID.level2","northing_UTM","easting_UTM","LC.author.coarse","SR","Shannon","Exclude.AM.Shannon","Original.Abundance","Original.Abundance.No.AM","Abundance","Exclude.AM.Abundance","above.genus.prop","above.genus.no.AM","Ratio","abundanceMethod","block.n","subblock.n","X","SC","Est.SR","Est.Shannon","Exclude.AM.SC","Exclude.AM.Est.SR","Exclude.AM.Est.Shannon","LC.author","Lat","Long","ref_siteID","LC.point","Hist.LC.point","fert","Agr.1km","Hist.Agr.1km","Urb.1km","Hist.Urb.1km","Forest","Hist.Forest","Shrubland","Hist.Shrubland","Grassland","Hist.Grassland","biome.value","CHELSA_bio10_01","CHELSA_bio10_12","CHELSA_bio10_04","CHELSA_bio10_15","elevation_1KMmn_SRTM","elevation_1KMsd_SRTM","cell","CHELSA_bio10_02","CHELSA_bio10_07","CHELSA_bio10_06","LC.author.and.GIS","SamplingEffort","LC.GIS","PC1","PC2","Agr1","Urb1","study_LC","qPD.S","Covariate.Est.Shannon"
"1","Adgc01","Adgc01P10","Adgc01Adgc01P10P10",-21.768592,-46.458282,"Agriculture",6,1.7045514452673,1.7045514452673,12,12,12,12,1,1,0.5,"Visitors (Targeted)",1,1,1,0.859,6.91666666666667,7.34140901859787,0.859,6.91666666666667,7.34140901859787,"crop",-21.768592,-46.458282,"Adgc01P10P1",40,40,1528.53772,0.694444444,0.694444444,0,0,0.055555556,0.055555556,0,0,0.25,0.25,7,201,1578,2046,70,968.1400146,26.15722466,5214633676,NA,NA,NA,"Agriculture",1,"Natural",-1.89485462991127,-1.55324301342225,1,0,"Adgc01_Agriculture",1.18964336479598,0.865779420988984
"24","Adgc01","Adgc01P28","Adgc01Adgc01P28P28",-21.745905,-46.475747,"Agriculture",6,1.70016494241458,1.51245117846645,16,14,16,14,1,1,0.375,"Visitors (Targeted)",1,1,24,0.9507,6.234375,6.57059723491754,0.9381,5.46428571428571,5.43498932328891,"crop",-21.745905,-46.475747,"Adgc01P28P8",11,11,1630.858521,0.432432432,0.432432432,0,0,0.432432432,0.432432432,0.135135135,0.135135135,0,0,7,196,1705,2046,65,1069.050049,49.4350853,5213596869,NA,NA,NA,"Agriculture",1,"Urban",-1.99482697061029,-1.32519803375146,1,0,"Adgc01_Agriculture",1.16817869353387,0.735198695277646
"25","Amad01","Amad01B1","Amad01Amad01B1SB1",-24.162836,-65.308969,"Natural",26,2.47153251158414,2.71532575194186,134,91,134,91,1,1,0.194029850746269,"Visitors (All)",1,1,25,0.9109,43.865671641791,14.0585972434704,0.8691,42.8021978021978,19.3459352285805,"natural habitat",-24.162836,-65.308969,"Amad01NLPE",50,50,257.075531,0.027027027,0,0.054054054,0.189189189,0.837837838,0.810810811,0.081081081,0,0,0,1,168,673,3790,96,1384.180054,40.20830154,5326342089,NA,NA,NA,"Natural",0.545454545,"Natural",-0.237606951526958,-2.434910666285,0,0,"Amad01_Natural",4.43457227850968,1.28658972939426
"29","Amad01","Amad01B1","Amad01Amad01B1SB1",-24.30285833,-65.41526667,"Natural",12,0.732250473489221,2.2274376530947,146,21,146,21,1,1,0.0821917808219178,"Visitors (All)",1,1,27,0.9591,20.9383561643836,2.23875450374772,0.7235,19.5714285714286,15.0519597012985,"natural habitat",-24.30285833,-65.41526667,"Amad01NPAN",120,120,360.5750122,0.157894737,0.157894737,0,0,0.684210526,0.684210526,0.157894737,0.157894737,0,0,1,152,987,3757,100,1683.469971,29.03014183,5332951651,NA,NA,NA,"Natural",0.393939394,"Natural",-0.295352819264961,-2.13234698599928,0,0,"Amad01_Natural",6.72933804651629,1.17759304691018
"30","Amad01","Amad01B1","Amad01Amad01B1SB1",-24.15653056,-65.39445,"Natural",15,2.40205877591472,2.37271681801116,56,45,56,45,1,1,0.267857142857143,"Visitors (All)",1,1,28,0.912,21.1383928571429,13.4503977535104,0.8909,20.1111111111111,13.5496753605129,"natural habitat",-24.15653056,-65.39445,"Amad01NREY",61,61,299.0128174,0.157894737,0.157894737,0,0,0.631578947,0.631578947,0.157894737,0.157894737,0,0,1,166,650,3755,96,1461.900024,26.00826836,5326082858,NA,NA,NA,"Natural",0.363636364,"Natural",-0.205791475885928,-2.45320422302551,0,0,"Amad01_Natural",4.71147402155652,1.13192888998335
"31","Amad01","Amad01B1","Amad01Amad01B1SB1",-24.11274167,-65.44021667,"Natural",12,1.19553852547823,2.02470344663951,89,26,89,26,1,1,0.134831460674157,"Visitors (All)",1,1,29,0.9216,36.2247191011236,3.90668696792222,0.7338,34.5576923076923,13.1233965590909,"natural habitat",-24.11274167,-65.44021667,"Amad01NYAL",61,61,244.0910034,0,0,0,0,1,1,0,0,0,0,10,155,765,3736,101,1673.050049,48.95618057,5324009242,NA,NA,NA,"Natural",0.393939394,"Natural",-0.138068207505897,-2.38344338681735,0,0,"Amad01_Natural",3.88127197425064,1.11804625241485
"32","Amad01","Amad01B1","Amad01Amad01B1SB1",-24.169882,-65.330537,"Natural",28,1.37708714022281,2.96889495943372,291,78,291,78,1,1,0.0962199312714777,"Visitors (All)",1,1,30,0.9589,42.3505154639175,4.28739266434328,0.8478,41.2153846153846,25.9251666840822,"natural habitat",-24.169882,-65.330537,"Amad01SULP",40,40,325.0552368,0.323529412,0.235294118,0.029411765,0.117647059,0.205882353,0.205882353,0.382352941,0.382352941,0,0,1,173,618,3781,95,1299.630005,7.419777393,5326730882,NA,NA,NA,"Natural",0.818181818,"Natural",-0.248835460545374,-2.5032845757347,0,0,"Amad01_Natural",6.06374074421468,1.41372155733666
"34","Amad01","Amad01B1","Amad01Amad01B1SB1",-24.24706,-65.190457,"Natural",21,1.35800928197483,2.5189412970171,158,47,158,47,1,1,0.132911392405063,"Visitors (All)",1,1,31,0.9372,29.2805907172996,4.31227312492661,0.7926,28.1560283687943,17.3769893270977,"natural habitat",-24.24706,-65.190457,"Amad01SUPA",40,40,325.5444031,0.315789474,0.263157895,0.026315789,0.105263158,0.078947368,0.078947368,0.552631579,0.526315789,0.026315789,0.026315789,7,182,685,3855,95,1085.569946,4.290116787,5330230132,NA,NA,NA,"Natural",0.484848485,"Natural",-0.376136888293669,-2.47243481560072,0,0,"Amad01_Natural",5.04867134066034,1.23997453437446
"37","Amad01","Amad01B1","Amad01Amad01B1SB1",-24.22403333,-65.23843056,"Natural",23,1.52115207938035,2.61417512907653,251,86,249,84,0.99203187250996,0.976744186046512,0.0923694779116466,"Visitors (All)",1,1,32,0.9559,83.2570281124498,5.14712516916714,0.8693,81.7797619047619,19.2098655218031,"natural habitat",-24.22403333,-65.23843056,"Amad01SURI",10,10,325.5444031,0.756756757,0.702702703,0.027027027,0.108108108,0.054054054,0,0.162162162,0.189189189,0,0,7,179,696,3829,96,1154.949951,4.350574493,5329193315,NA,NA,NA,"Agriculture",0.393939394,"Urban",-0.349424845762631,-2.46952050027856,0,0,"Amad01_Natural",5.29203487633583,1.28352432460437
"36","Amad01","Amad01B1","Amad01Amad01B1SB1",-24.17454167,-65.39880278,"Natural",14,1.62983776542362,2.33031774538473,66,27,66,27,1,1,0.212121212121212,"Visitors (All)",1,1,33,0.8793,45.5151515151515,6.69433765482657,0.7065,43.8148148148148,19.5371763480439,"natural habitat",-24.17454167,-65.39880278,"Amad01SURE",10,10,324.5660706,0.305555556,0.25,0.027777778,0.083333333,0.305555556,0.305555556,0.277777778,0.277777778,0,0,1,167,736,3756,99,1422.73999,19.96828461,5326860457,NA,NA,NA,"Agriculture",0.363636364,"Urban",-0.246789037365598,-2.43569876478769,0,0,"Amad01_Natural",4.73063832910327,1.29086179658462
