"","study","T.gamma","T.gamma.SC","P.gamma","LC","extent","abundanceMethod","mean_PC1","mean_PC2","SamplingEffort.sd","SC.sd","mean_SC","site","mean_T_alpha","mean_P_alpha"
"1","Srit01",25.89827406,1,5.192608405,"Agricultural",256.9309711,"Visitors (All)",-2.995628357,2.105222964,0,0,1,20,22.73528472,4.974395668
"2","sidh01",1.971564724,1,1.692582437,"Agricultural",328.5700628,"Visitors (Targeted)",0.713318363,0.363965167,0,0,1,7,1.756191436,1.547399016
"3","Rade01",1.309015921,1,1.292963011,"Agricultural",27.21098374,"Abundance",-0.66048157,0.847835966,0,0,1,18,1.227519131,1.217895329
"4","klat01",9.045164405,1,2.818026476,"Agricultural",76.19272193,"Visitors (Targeted)",0.308164636,0.362780573,0,0,1,8,5.72764072,2.345313227
"5","Stew02",3.079104611,1,1.645599944,"Urban",10.64765902,"Visitors (All)",-3.514452364,1.028913855,0.303465806,0.000252716,0.999915761,9,2.794843604,1.595102145
"6","Stew01",2.975232796,1,1.486587997,"Urban",22.71915555,"Visitors (All)",-3.515174566,1.024548836,0.239201135,0.000745166,0.99988703,50,2.557817979,1.41301598
"7","javo01",7.264231003,1,3.793399836,"Agricultural",155.7242573,"Visitors (Targeted)",1.190150288,0.40154719,0,0.001925196,0.998049787,14,5.319576091,2.894389076
"8","Pren02",28.35129039,0.9686,5.518770416,"Urban",26.43803137,"Abundance",-2.250192671,-0.408079422,0,0.003251728,0.991580968,7,12.314528,3.960096465
"9","cunn005",2.007609058,1,1.460748813,"Agricultural",6.390866414,"Abundance",-0.383949418,0.727704115,0,0.003570037,0.994393639,10,1.835372379,1.406897642
"10","Rade01",1.869372056,1,1.757896155,"Urban",22.64103434,"Abundance",-0.699473444,0.812075855,0,0.005441295,0.997778601,6,1.585952177,1.504393407
"11","Liuy01",8.696789219,0.992,2.878331877,"Agricultural",16.72301966,"Abundance",-0.180621233,-1.403859873,0,0.004947934,0.985211607,15,7.177898327,2.690784383
"12","FOUR01",38.4728661,0.9911,5.973171955,"Natural",28.43921084,"Abundance",1.543766032,0.225550367,0.180123415,0.006164736,0.95815108,5,27.57546028,5.415288905
"13","krem01",4.239353333,1,2.113166781,"Agricultural",58.3161283,"Visitors (Targeted)",-1.801432611,-1.215949243,0,0.009041052,0.99587505,14,2.707288343,1.60978466
"14","Richards01c",18.92760105,0.9873,5.078067388,"Natural",2.038761236,"Visitors (All)",1.102791218,0.550479436,0.148813066,0.007924478,0.96315707,6,15.27810989,4.601255941
"15","saba01",4.298723558,0.9953,2.469382072,"Natural",38.44601723,"Visitors (All)",-0.479449786,0.996149887,0.081325006,0.009591501,0.986382344,7,3.716717086,2.327736047
"16","Hall01",5.095513042,0.9987,1.382128805,"Agricultural",113.3130657,"Abundance",-0.656348483,0.612426529,0.160514471,0.011024237,0.985776759,24,3.579595929,1.305367115
"17","Richards01a",13.14158529,0.9965,4.226524526,"Natural",2.038761236,"Abundance",1.102791218,0.550479436,0.156458195,0.014013737,0.983981873,6,11.13177821,3.976550923
"18","Richards01b",13.71594219,0.9971,4.135648571,"Natural",2.038761236,"Abundance",1.102791218,0.550479436,0.132992762,0.013680252,0.980277646,6,10.89344658,3.691195394
