"","Taxa","Mean","SD","Int","Agr","Urb","Agr_se","Urb_se","Global_LC_p","Agr_p","Urb_p","R2m","R2c","Time","form","adjusted_p_agr","adjusted_p_urb","ratio_mean_agr","log_ratio_mean_agr","ratio_mean_urb","log_ratio_mean_urb"
"1","Panurginus",2.79383886255924,24.8291580171571,-2.01933710255207,1.06463726094831,NA,0.670698118560398,NA,NA,0.113202708773715,NA,0.396117760894396,0.873383783600948,31.3909211158752,1,0.169804063160573,NA,2.89978692730003,0.462366087658445,NA,NA
"2","Amegilla",5.9572192513369,12.4115439117588,2.53473115956717,-2.65852199884876,0.864814823301923,1.0224706312964,0.991772977960141,0.00931976312243285,0.0291074374121223,0.383794112626429,0.299138463926348,0.92206354508614,14.6670219898224,1,0.0727685935303057,0.906808882999207,0.07005168173508,-1.15458143411842,2.37456633090965,0.375584305628161
"3","Lipotriches",3.43333333333333,9.86963843820919,1.05805947485604,-0.393464818407243,NA,0.268216841699787,NA,NA,0.143763447199551,NA,0.377592515760775,0.691526347372686,4.66455793380737,1,0.196041064363024,NA,0.674715054709596,-0.170879599457331,NA,NA
"4","Melitta",0.375668449197861,1.66603890417404,-2.20810486967592,-1.86130033423729,NA,0.612917263574297,NA,NA,0.00247555815733036,NA,0.227126645113417,0.971740644043074,4.59525663455327,1,0.00825186052443453,NA,0.155470335470915,-0.808352464323935,NA,NA
"5","Anthidium",0.717460317460317,2.79670695897272,-1.04730367010641,-2.49225773362378,0.647553210221745,0.595611143140241,0.342981251731281,2.85957325588866e-05,4.69445759062603e-05,0.0593342275300355,0.345057820841979,0.840674943493003,35.7137057781219,1,0.000513198808662629,0.296671137650177,0.0827229891079708,-1.08237378119351,1.91085963258087,0.28122878593804
"6","Panurgus",0.601307189542484,3.8602254274397,-1.51428100711669,-0.838171162634382,0.845683063866644,1.1649973466272,0.608707374747479,0.471856391391538,NA,NA,0.180539555501682,0.987408889685352,4.07919549942017,1,NA,NA,0.432500774165235,-0.364013110822545,2.32956851531097,0.367275488076319
"7","Svastra",1.26449275362319,3.6549801785238,-0.933662948421168,-0.184323295477492,NA,0.820339717600659,NA,NA,0.82239315070605,NA,0.198183257949314,0.820856854680031,6.29994201660156,1,0.82239315070605,NA,0.831666886215997,-0.0800505901120974,NA,NA
"8","Stelis",0.251336898395722,0.846086085528717,-1.50205520083833,-0.461398079288242,-0.906620029291922,0.432199884205183,0.507137045809419,0.285720318462991,NA,NA,0.082280548725467,0.504756679729283,44.3326439857483,1,NA,NA,0.630401677591334,-0.200382639795643,0.403887045971848,-0.393740075904446
"9","Nomia",6.57086614173228,21.4654998873271,0.00351380641836005,-0.948589990231153,NA,0.690406197539471,NA,NA,0.170720354497071,NA,0.356428082464126,0.960293307978826,8.07052206993103,1,0.213400443121339,NA,0.387286716701582,-0.411967398346049,NA,NA
"10","Calliopsis",1.59351620947631,5.90185206993208,-2.23258068685563,-1.09900160110268,0.00871700188148715,0.656855279189353,0.620850284949329,0.0943025075364079,NA,NA,0.0860613548277877,0.944094373542297,21.2864019870758,1,NA,NA,0.333203587779227,-0.477290330961734,1.00875510557858,0.0037857458158702
"11","Osmia",3.36683168316832,16.0142516042482,0.739632632906341,-1.45730967678494,-1.27574804042606,0.232975396677228,0.252171222786289,3.96985235824533e-10,1.45145695462645e-09,6.89560897049191e-07,0.164420186212921,0.875925769648241,6.68659733136495,1,4.35437086387935e-08,6.89560897049191e-06,0.232861906569623,-0.632901551051911,0.279222020721216,-0.554050334255925
