"","studyID","mean(Exclude.AM.Abundance)"
"1","Adgc01",13
"2","Amad01",72.8461538461538
"3","Arm01",252
"4","Avil01",297.384615384615
"5","Baldi01",18.4
"6","Ball01",314.65
"7","Bana01",315.666666666667
"8","Bana02",214.9
"9","Bana03",295.25
"10","Bass01",122
"11","Bate01",49.0384615384615
"12","Baum01",21.3
"13","Beal01",67
"14","Bill01",66
"15","Bird01",155.888888888889
"16","Bros01",38.5
"17","Bros02",86.1451612903226
"18","Carv01b",19
"19","Cast01",53.6842105263158
"20","Cely01",271.6
"21","Cunn02",115.9
"22","Cuss02",74.7777777777778
"23","Drom01",22
"24","Ducl01",72
"25","Enriq01",117.636363636364
"26","FOUR01",757.6
"27","Forr01",266.3125
"28","Fowl01",96.9285714285714
"29","Gesl01",107
"30","Gonz01",73.1578947368421
"31","Guen01",10.5
"32","Guti01",99.9
"33","Hall01",340.041666666667
"34","Hanl01",138.875
"35","Henn01",23.0487804878049
"36","Hermy01",14.6363636363636
"37","Hipo01",34
"38","Hung01",508.444444444444
"39","Kohl01",34.25
"40","Kova01",36.6774193548387
"41","Land01",194
"42","Landa01",86.8333333333333
"43","Latt01",17.8181818181818
"44","Lerman01",283.611111111111
"45","Liuy01",107.933333333333
"46","Liuy02",197.318181818182
"47","MORR01",129
"48","Mach01",24.35
"49","Main01",215.466666666667
"50","Mans01",117.705882352941
"51","Marq01",10
"52","Marshall01",16.5454545454545
"53","Matt01",61.4444444444444
"54","Meng01",98.1666666666667
"55","Meyr01a",18.2857142857143
"56","Meyr01b",16.3333333333333
"57","Meyr02",123.0625
"58","Mont01",19.2222222222222
"59","Nali01",39.640625
"60","Norf01",30.8378378378378
"61","Phil01a",21.9285714285714
"62","Phil01b",57.3888888888889
"63","Phil02a",72.2777777777778
"64","Phil02b",31.7692307692308
"65","Power01",24.0555555555556
"66","Pren01",95.5
"67","Pren02",124.5
"68","Quin01",58
"69","Rade01",411.833333333333
"70","Reyn01",22.36
"71","Richards01a",1105
"72","Richards01b",795.166666666667
"73","Richards01c",262.166666666667
"74","Samn02",46.32
"75","Satu01",48
"76","Schu01",73.8666666666667
"77","Srit01",688.85
"78","Stei01",4048.16666666667
"79","Stew01",368.72
"80","Stew02",841.888888888889
"81","Stoj01",74.0625
"82","Taki02",261.941176470588
"83","Taki03",30.625
"84","Tang01",165.913043478261
"85","Thre01",22.0666666666667
"86","Tino01",64.3333333333333
"87","Toni01",46.2142857142857
"88","Turo01",32.5
"89","Vaid01",122
"90","Verga01",15
"91","Vide01",80.4444444444444
"92","West01",31.5
"93","Wils01",99.2666666666667
"94","Youn01",196
"95","Zou01",190.611111111111
"96","balz02",13.6666666666667
"97","balz03",12
"98","benj01",72.2666666666667
"99","bomm01",16.5
"100","bore01",24
"101","burk01",1168
"102","burk02",35.5
"103","burk03",154.571428571429
"104","burk04",574.4
"105","burk05",28.2903225806452
"106","burk06",64.6635514018692
"107","cari01",42.5625
"108","conn01a",14.5
"109","conn01b",62.75
"110","conn02",181.892857142857
"111","conn04",432.333333333333
"112","cunn005",612.7
"113","cunn009",46.3846153846154
"114","cuss01",37.6666666666667
"115","danf01",89.6153846153846
"116","frei01",859
"117","frei02",215
"118","gain01",72.1428571428571
"119","holz01a",14
"120","holz01b",28.6666666666667
"121","holz02",38.5714285714286
"122","hopf1",161.565217391304
"123","isaa01",30.6666666666667
"124","javo01",539.5
"125","jha01",88.8571428571429
"126","klat01",51
"127","klei01",118.636363636364
"128","krem01",139.857142857143
"129","krem03",333.9375
"130","leon01",601.027777777778
"131","mall01",199.342857142857
"132","mall02",73.6363636363636
"133","mand01",25.3333333333333
"134","mand02",30.9230769230769
"135","mand03",23
"136","mora01",68.4444444444444
"137","neam01",22
"138","otie01",33.8333333333333
"139","pott01",59.9
"140","pufa01",17
"141","rick01",58.5
"142","saba01",183.142857142857
"143","saez01",14.5
"144","sard01",207.857142857143
"145","sche01",69.4468085106383
"146","scil01",45.5833333333333
"147","sidh01",193
"148","spie01",112.285714285714
"149","stef01",38.5
"150","taki01",20.75
"151","tuel01",205
"152","wick02",133.979591836735
"153","will01",88
"154","winf01",64.2244897959184
"155","winf02",19.875
"156","winf03",84.25
"157","winf05",14.6
