"","Estimate","Std..Error","df","t.value","Pr...t..","R2c","R2m"
"(Intercept)",0.48,0.028,137.944,16.912,0,0.699,0.18
"LCAgriculture",-0.079,0.021,55.053,-3.699,0.001,0.699,0.18
"LCUrban",-0.013,0.03,74.159,-0.429,0.669,0.699,0.18
"scaled.spatial.dist",0.013,0.016,129.066,0.833,0.406,0.699,0.18
"SC.diff.mean",0.96,0.269,137.558,3.569,0,0.699,0.18
"abundanceMethodVisitors (All)",0.034,0.031,119.406,1.118,0.266,0.699,0.18
"abundanceMethodVisitors (Targeted)",0.003,0.032,136.545,0.083,0.934,0.699,0.18
"mean_PC1",0.003,0.011,115.121,0.283,0.778,0.699,0.18
"mean_PC2",0.008,0.01,115.714,0.774,0.44,0.699,0.18
"LCAgriculture:scaled.spatial.dist",0.011,0.019,50.169,0.565,0.575,0.699,0.18
"LCUrban:scaled.spatial.dist",-0.004,0.034,80.29,-0.107,0.915,0.699,0.18
"(Intercept)1",0.295,0.029,137.249,10.287,0,0.536,0.147
"LCAgriculture1",-0.081,0.024,72.142,-3.437,0.001,0.536,0.147
"LCUrban1",-0.01,0.033,94.508,-0.318,0.751,0.536,0.147
"scaled.spatial.dist1",-0.002,0.017,132.074,-0.098,0.922,0.536,0.147
"SC.diff.mean1",0.764,0.269,132.673,2.838,0.005,0.536,0.147
"abundanceMethodVisitors (All)1",0.047,0.03,119.913,1.553,0.123,0.536,0.147
"abundanceMethodVisitors (Targeted)1",0.04,0.032,135.469,1.241,0.217,0.536,0.147
"mean_PC11",0,0.011,115.435,-0.012,0.99,0.536,0.147
"mean_PC21",0.009,0.01,113.894,0.925,0.357,0.536,0.147
"LCAgriculture:scaled.spatial.dist1",0.005,0.021,65.374,0.255,0.799,0.536,0.147
"LCUrban:scaled.spatial.dist1",-0.008,0.036,101.385,-0.217,0.829,0.536,0.147
