"","Taxa","Mean","SD","Int","Agr","Urb","Agr_se","Urb_se","Agr_p","Urb_p","Time","R2m","R2c","form","adjusted_p_agr","adjusted_p_urb","ratio_mean_agr","log_ratio_mean_agr","ratio_propoagated_se_agr","ratio_mean_urb","log_ratio_mean_urb","ratio_propoagated_se_urb"
"R2","Apis",78.0197044334975,164.371619547851,2.908257749071,-0.300872417993656,NA,0.587408550960835,NA,0.609097625350335,NA,10.3249340057373,0.0457253549228128,0.598277562510781,1,0.688545141700378,NA,0.740172199377246,-0.130667230891534,1.46020113925385,NA,NA,NA
"R251","Panurginus",2.79383886255924,24.8291580171571,-3.35603991746087,1.84742479730642,NA,1.36511984102122,NA,0.176701754494308,NA,1.30701618591944,0.0228321312210288,0.182978051531366,1,0.303383728149428,NA,6.34346276825485,0.802326395201411,2.10017571840422,NA,NA,NA
"R250","Amegilla",5.8994708994709,12.3585020396328,1.94526481254547,-2.15306944578752,0.0585984249145121,0.904814502393941,1.04115226643404,0.0178460419984756,0.95514772984467,36.7088029384613,0.0149636576872328,0.498905033056762,1,0.077332848660061,0.98324031013422,0.116127164132704,-0.935066179460014,1.39067327422634,1.06034934535239,0.0254489725885945,1.60885480965291
"R249","Lipotriches",3.41735537190083,9.83111478283042,1.08126644725227,-0.399851170731712,NA,0.263800412986737,NA,0.130953885449193,NA,7.04157710075378,0.0505690179062002,0.373509847341684,1,0.272384081734321,NA,0.670419816701823,-0.173653157031338,0.725173391530463,NA,NA,NA
"R248","Melitta",0.374025974025974,1.64711219074335,-1.94841591461856,-1.55792347988179,NA,0.993422693801747,NA,0.117242322660391,NA,12.3531854351362,0.0137632857532693,0.193529946855746,1,0.254025032430848,NA,0.210572876340549,-0.676597570540173,1.24000380937425,NA,NA,NA
"R247","Anthidium",0.711864406779661,2.73473422310419,-1.08388952301099,-2.54014953463837,0.736227337146321,0.634511943184774,0.343046574652916,6.71269889576109e-05,0.0321040275038804,5.13929529984792,0.0300424598347313,0.301070077384298,1,0.000872650856448942,0.187273493772636,0.078854607413809,-1.10317292610256,0.97418321975333,2.08804315340487,0.319739469948972,0.746436312241692
"R246","Panurgus",0.601307189542484,3.8602254274397,-2.38559279980275,0.0253997638938108,1.15787259672305,0.726749589014167,0.725818479774649,0.972131381794858,0.111179620780217,7.92380348443985,0.00664268127963996,0.291725968597599,1,0.972131381794858,0.3242738939423,1.02572508642872,0.0110309773007274,1.69203325869529,3.18315421506642,0.50285767950381,1.81992552782835
"R245","Svastra",1.24199288256228,3.62606855383238,-0.960485551691151,-0.200299234365862,-0.305958114199784,0.87865118452728,0.364385690901817,0.819849472754665,0.401850475948013,32.4473948478699,0.0203415096147791,0.314927800084915,1,0.835924952612599,0.812476122716503,0.818485797351687,-0.0869888522145399,1.53277054609754,0.736417464244899,-0.132875920690491,1.21839433059519
"R244","Stelis",0.251336898395722,0.846086085528717,-1.50295138582781,-0.465771040046242,-0.904677300733735,0.432482663250813,0.507771721313404,0.281846347916721,0.0752167032738729,1.21738963127136,0.00793571486602185,0.10004838441015,1,0.418743145476272,0.286536161656205,0.627650974535135,-0.202281792522421,0.781467437883431,0.404672451538229,-0.39289635961179,0.907039430767458
"R243","Nomia",6.57086614173228,21.4654998873271,-0.0586104753376774,-1.09996446291953,-1.30193155957314,0.638756930351248,1.84295410360321,0.086340147856079,0.480595804065504,31.7240388393402,0.0270350006155829,0.494977744184449,1,0.236299352027164,0.812476122716503,0.332882913174757,-0.477708496535628,1.58070150705177,0.2720058897105,-0.565421692138311,2.72331493476304
