"","Estimate","Cond..SE","t.value","p.value","R2c","R2m"
"(Intercept)",2.351,0.078,30.194,0,0.612,0.014
"Agr1",-0.178,0.057,-3.145,0.002,0.612,0.014
"Urb1",-0.179,0.07,-2.555,0.011,0.612,0.014
"abundanceMethodVisitors (All)",-0.235,0.133,-1.768,0.077,0.612,0.014
"abundanceMethodVisitors (Targeted)",-0.508,0.126,-4.035,0,0.612,0.014
"PC1",0.087,0.041,2.132,0.033,0.612,0.014
"PC2",0.063,0.036,1.738,0.082,0.612,0.014
"(Intercept)1",1.079,0.045,23.776,0,0.52,0.01
"Agr11",-0.127,0.038,-3.37,0.001,0.52,0.01
"Urb11",-0.11,0.046,-2.381,0.017,0.52,0.01
"abundanceMethodVisitors (All)1",-0.048,0.077,-0.627,0.531,0.52,0.01
"abundanceMethodVisitors (Targeted)1",-0.213,0.075,-2.841,0.005,0.52,0.01
"PC11",0.033,0.024,1.356,0.175,0.52,0.01
"PC21",0.032,0.022,1.483,0.138,0.52,0.01
"(Intercept)2",0.987,0.031,32.156,0,0.773,0.531
"Agr12",-0.043,0.027,-1.596,0.11,0.773,0.531
"Covariate.Est.Shannon",0.388,0.015,26.437,0,0.773,0.531
"Urb12",-0.018,0.034,-0.544,0.587,0.773,0.531
"abundanceMethodVisitors (All)2",0.062,0.052,1.196,0.232,0.773,0.531
"abundanceMethodVisitors (Targeted)2",0.034,0.052,0.656,0.512,0.773,0.531
"PC12",-0.007,0.016,-0.413,0.679,0.773,0.531
"PC22",0,0.015,0.005,0.996,0.773,0.531
"Agr1:Covariate.Est.Shannon",-0.011,0.018,-0.599,0.549,0.773,0.531
"Covariate.Est.Shannon:Urb1",0.019,0.022,0.857,0.392,0.773,0.531
